2022-09-30 09:17:05.382269 Start \(≧▽≦)/
2022-09-30 09:17:05.382348 Loading data from pkl...
2022-09-30 09:17:06.613260 Loaded Data (=ﾟωﾟ)ﾉ
2022-09-30 09:17:48.172630 Step 18/27: loss = 3.101, loss_main = 3.100, loss_regu = 0.001
2022-09-30 09:17:48.381559 Step 19/27: loss = 3.133, loss_main = 3.131, loss_regu = 0.001
2022-09-30 09:17:48.607207 Step 20/27: loss = 3.073, loss_main = 3.072, loss_regu = 0.001
2022-09-30 09:17:48.826391 Step 21/27: loss = 3.028, loss_main = 3.027, loss_regu = 0.001
2022-09-30 09:17:49.026457 Step 22/27: loss = 3.083, loss_main = 3.082, loss_regu = 0.001
2022-09-30 09:17:49.252131 Step 23/27: loss = 3.178, loss_main = 3.177, loss_regu = 0.001
2022-09-30 09:17:49.471768 Step 24/27: loss = 3.100, loss_main = 3.099, loss_regu = 0.001
2022-09-30 09:17:49.668541 Step 25/27: loss = 3.135, loss_main = 3.134, loss_regu = 0.001
2022-09-30 09:17:49.877725 Step 26/27: loss = 3.145, loss_main = 3.144, loss_regu = 0.001
2022-09-30 09:17:49.991238 Step 27/27: loss = 3.173, loss_main = 3.172, loss_regu = 0.001
2022-09-30 09:17:50.017912 Train 6/100 {'loss': 3.2194425883116544, 'loss_main': 3.218371285332574, 'precision': 0.10484330484330484}
2022-09-30 09:17:50.196469 Step 0/3: precision = 18.000
2022-09-30 09:17:50.374877 Step 1/3: precision = 18.000
2022-09-30 09:17:50.552315 Step 2/3: precision = 8.000
2022-09-30 09:17:50.567363 Step 3/3: precision = 1.000
2022-09-30 09:17:50.567669 Test 6/100 {'precision': 0.057692307692307696}
[1m2022-09-30 09:17:50.567700 Best Result: precision = 0.0577[0m
2022-09-30 09:17:50.730396 Step 0/27: loss = 2.997, loss_main = 2.996, loss_regu = 0.001
2022-09-30 09:17:50.918500 Step 1/27: loss = 3.048, loss_main = 3.047, loss_regu = 0.001
2022-09-30 09:17:51.106600 Step 2/27: loss = 3.044, loss_main = 3.043, loss_regu = 0.001
2022-09-30 09:17:51.289631 Step 3/27: loss = 3.094, loss_main = 3.093, loss_regu = 0.001
2022-09-30 09:17:51.469077 Step 4/27: loss = 3.121, loss_main = 3.120, loss_regu = 0.001
2022-09-30 09:17:51.653133 Step 5/27: loss = 3.040, loss_main = 3.039, loss_regu = 0.001
2022-09-30 09:17:51.836309 Step 6/27: loss = 3.089, loss_main = 3.088, loss_regu = 0.001
2022-09-30 09:17:52.018767 Step 7/27: loss = 3.094, loss_main = 3.093, loss_regu = 0.001
2022-09-30 09:17:52.191738 Step 8/27: loss = 3.062, loss_main = 3.061, loss_regu = 0.001
2022-09-30 09:17:52.364657 Step 9/27: loss = 3.117, loss_main = 3.115, loss_regu = 0.001
2022-09-30 09:17:52.533894 Step 10/27: loss = 3.135, loss_main = 3.134, loss_regu = 0.001
2022-09-30 09:17:52.699899 Step 11/27: loss = 3.097, loss_main = 3.096, loss_regu = 0.001
2022-09-30 09:17:52.867448 Step 12/27: loss = 3.030, loss_main = 3.029, loss_regu = 0.001
2022-09-30 09:17:53.033380 Step 13/27: loss = 3.084, loss_main = 3.083, loss_regu = 0.001
2022-09-30 09:17:53.201106 Step 14/27: loss = 3.125, loss_main = 3.124, loss_regu = 0.001
2022-09-30 09:17:53.374158 Step 15/27: loss = 3.057, loss_main = 3.056, loss_regu = 0.001
2022-09-30 09:17:53.546654 Step 16/27: loss = 3.049, loss_main = 3.048, loss_regu = 0.001
2022-09-30 09:17:53.712428 Step 17/27: loss = 3.096, loss_main = 3.095, loss_regu = 0.001
2022-09-30 09:17:53.887148 Step 18/27: loss = 3.150, loss_main = 3.149, loss_regu = 0.001
